safe,release_speed,plate_x,plate_z,pop_time,exchange_time,arm_strength,lead,sprint_speed,swing,delta_run_exp
1,75.5,2.17,2.23,2.01348,0.774291667,80.65608,11.790636364,25.4,0,0.061
1,90.3,-0.36,2.56,2.123846154,0.847192308,78.67532,11.790636364,27.4,1,-0.367
1,91,-1.42,2.95,2.123846154,0.847192308,78.67532,11.790636364,28.8,0,0.117
1,90.1,-0.28,1.29,2.123846154,0.847192308,78.67532,11.790636364,29.6,1,-0.367
1,79.7,0.79,2.55,2.123846154,0.847192308,78.67532,11.790636364,28.9,0,-0.047
1,93.7,-0.77,3.83,1.958323529,0.689818182,79.510333333,11.790636364,29.1,0,0.029
0,80.9,0.45,2.46,1.958323529,0.689818182,79.510333333,11.790636364,28.4,0,-0.251
0,95,-1.18,2.12,2.228,0.8745,75.3979,12.139333333,28.2,0,-0.22
1,94.2,-1.49,3.73,2.016851852,0.780148148,81.39628,12.139333333,27.4,0,0.017
1,91.2,-1.28,2.08,2.037071429,0.807821429,82.251678571,12.139333333,28,0,0.17
1,98.4,-0.05,1.85,2.091884615,0.720666667,73.916192308,11.8675,26.5,0,-0.052
0,87.3,1.5,2.02,1.958857143,0.731785714,80.772153846,11.666555556,28.5,0,0.048
0,89.2,0.91,2.18,1.958857143,0.731785714,80.772153846,11.666555556,28.8,0,-0.22
0,92.6,1.08,1.76,1.948529412,0.658705882,78.740176471,11.666555556,26.8,0,0.162
1,82.8,0.83,0.97,1.948529412,0.658705882,78.740176471,11.666555556,29.4,1,-0.212
1,84.2,1.1,2.04,1.948529412,0.658705882,78.740176471,11.666555556,26.2,0,0.031
0,92.5,-0.55,3.53,1.948529412,0.658705882,78.740176471,11.666555556,27.4,1,-0.092
0,83.8,1.19,1.53,1.958857143,0.731785714,80.772153846,11.666555556,27,1,-0.052
0,89.9,1.5,1.52,1.958857143,0.731785714,80.772153846,11.666555556,28.4,0,0.039
1,92.7,0.52,1.72,1.948529412,0.658705882,78.740176471,11.666555556,28.8,0,0.062
1,93.6,-0.98,2.11,1.948529412,0.658705882,78.740176471,11.666555556,28.1,0,0.031
1,83.7,2.24,-0.17,2.123846154,0.847192308,78.67532,11.428666667,28.5,0,0.084
0,92.9,1.54,1.75,2.067357143,0.727666667,74.948785714,11.428666667,26.5,0,-0.22
1,77.2,-0.01,1.41,2.091884615,0.720666667,73.916192308,10.7515,28.6,0,0.031
0,75.5,-0.74,1.35,2.091884615,0.720666667,73.916192308,10.7515,27.2,1,-0.367
1,91.1,0.58,1.87,2.091884615,0.720666667,73.916192308,10.7515,28.9,0,0.031
1,92.4,1.39,4.08,2.037071429,0.807821429,82.251678571,10.7515,27.6,1,-0.266
1,91.9,0.7,3.28,2.091884615,0.720666667,73.916192308,10.7515,26.5,0,0.017
1,74.7,1.84,2.34,2.091884615,0.720666667,73.916192308,10.7515,29.6,0,0.017
1,89.2,-1.45,1.43,2.063588235,0.790176471,78.543058824,10.9061875,27.7,0,0.036
1,86.9,1.49,0.48,2.033826087,0.757636364,79.222347826,10.9061875,28.8,0,0.054
1,88.3,-0.9,2.77,2.033826087,0.757636364,79.222347826,10.9061875,28.5,0,0.17
1,84.4,-1.4,2.36,2.03274359,0.694487179,75.660358974,10.9061875,27.1,1,-0.066
0,89.3,-1.47,1.65,2.033826087,0.757636364,79.222347826,10.9061875,27.8,0,0.124
1,86.8,-1,1.93,2.03274359,0.694487179,75.660358974,10.9061875,27.8,0,-0.367
1,83,-1.62,1.72,2.033826087,0.757636364,79.222347826,10.9061875,28.8,0,0.031
1,82.6,-0.97,1.55,2.033826087,0.757636364,79.222347826,10.9061875,27.4,0,0.017
0,90.6,0.26,2.8,2.041551724,0.772368421,78.662660714,10.771,27.3,1,-0.066
1,92.6,0.4,0.78,2.041551724,0.772368421,78.662660714,10.771,28.4,0,0.075
1,92.8,-1.43,3.13,2.041551724,0.772368421,78.662660714,10.771,28.9,0,0.048
1,88.7,0.87,2.82,2.041551724,0.772368421,78.662660714,10.771,27.3,0,0.062
1,90.3,-0.77,3.05,2.041551724,0.772368421,78.662660714,10.771,27.3,0,0.048
1,84.5,0.06,1.89,1.960848485,0.698939394,80.9561875,11.914375,28.1,1,-0.074
1,91,-0.89,0.65,1.960848485,0.698939394,80.9561875,11.914375,28.8,0,0.084
1,92.6,0.1,3.89,1.960848485,0.698939394,80.9561875,11.914375,28.8,0,0.094
1,81.8,-0.2,3.59,1.960848485,0.698939394,80.9561875,11.914375,26,0,-0.047
1,83.8,0.91,1.18,1.960848485,0.698939394,80.9561875,11.914375,27.7,1,-0.052
0,91,0.29,2.21,1.960848485,0.698939394,80.9561875,11.914375,27.3,0,-0.22
0,81.8,-1.22,3.57,2.041551724,0.772368421,78.662660714,11.1045,27.8,0,0.162
1,95.1,-1.7,3.12,2.041551724,0.772368421,78.662660714,11.1045,26.3,0,0.075
0,84.7,0.83,0.99,1.9089,0.7248,84.173578947,11.1045,28.9,0,0.084
1,86.3,0.09,2.2,2.041551724,0.772368421,78.662660714,11.1045,25.7,1,-0.266
0,94.4,-2.28,2.72,2.041551724,0.772368421,78.662660714,11.1045,27.3,0,0.048
1,86.9,-1.04,3.47,2.041551724,0.772368421,78.662660714,11.1045,26.7,1,-0.27
1,92.3,-1.08,2.7,2.111916667,0.775695652,75.259333333,11.643,28,0,0.062
1,91.7,0.01,1.21,2.111916667,0.775695652,75.259333333,11.643,28,0,0.054
1,92.3,1.02,3.03,2.041551724,0.772368421,78.662660714,11.643,29.1,0,0.054
1,85.8,0.31,0.7,2.075615385,0.824384615,78.825461538,11.643,28.8,1,-0.488
0,86.8,-0.06,2.83,2.041551724,0.772368421,78.662660714,11.643,28.4,0,-0.068
1,94.2,-1.1,1.32,1.937613636,0.674395349,81.197232558,11.832666667,28.6,0,0.048
1,80.3,1.61,1.43,1.937613636,0.674395349,81.197232558,11.832666667,28.8,1,-0.367
